,mean,std,params
99,0.6282349075125054,0.005093836711585841,"{'C': 100, 'gamma': 0.0001}"
110,0.6276012499822963,0.004709046967786219,"{'C': 1000, 'gamma': 0.0001}"
68,0.627560465747135,0.004310839924522815,"{'C': 1, 'gamma': 0.01}"
79,0.627560465747135,0.004310839924522815,"{'C': 3, 'gamma': 0.01}"
69,0.627560465747135,0.004310839924522815,"{'C': 1, 'gamma': 0.03}"
10,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 1000}"
1,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 0.001}"
14,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 0.03}"
13,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 0.01}"
12,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 0.001}"
11,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 0.0001}"
7,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 3}"
9,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 100}"
8,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 10}"
17,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 1}"
6,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 1}"
32,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 1000}"
5,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 0.3}"
15,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 0.1}"
20,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 100}"
18,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 3}"
19,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 10}"
3,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 0.03}"
21,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 1000}"
22,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 0.0001}"
23,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 0.001}"
24,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 0.01}"
25,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 0.03}"
35,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 0.01}"
27,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 0.3}"
28,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 1}"
29,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 3}"
30,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 10}"
16,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 0.3}"
4,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 0.1}"
0,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 0.0001}"
2,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 0.01}"
51,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 3}"
34,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 0.001}"
48,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 0.1}"
47,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 0.03}"
46,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 0.01}"
45,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 0.001}"
44,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 0.0001}"
43,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 1000}"
42,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 100}"
41,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 10}"
40,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 3}"
31,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 100}"
39,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 1}"
38,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 0.3}"
37,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 0.1}"
36,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 0.03}"
49,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 0.3}"
26,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 0.1}"
52,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 10}"
62,0.6274518325365783,0.003545513659952154,"{'C': 0.3, 'gamma': 3}"
64,0.6274518325365783,0.003545513659952154,"{'C': 0.3, 'gamma': 100}"
53,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 100}"
65,0.6274518325365783,0.003545513659952154,"{'C': 0.3, 'gamma': 1000}"
50,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 1}"
60,0.6274518325365783,0.003545513659952154,"{'C': 0.3, 'gamma': 0.3}"
63,0.6274518325365783,0.003545513659952154,"{'C': 0.3, 'gamma': 10}"
33,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 0.0001}"
61,0.6274518325365783,0.003545513659952154,"{'C': 0.3, 'gamma': 1}"
59,0.6274518325365783,0.003545513659952154,"{'C': 0.3, 'gamma': 0.1}"
58,0.6274518325365783,0.003545513659952154,"{'C': 0.3, 'gamma': 0.03}"
57,0.6274518325365783,0.003545513659952154,"{'C': 0.3, 'gamma': 0.01}"
56,0.6274518325365783,0.003545513659952154,"{'C': 0.3, 'gamma': 0.001}"
55,0.6274518325365783,0.003545513659952154,"{'C': 0.3, 'gamma': 0.0001}"
54,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 1000}"
80,0.6272436369820305,0.004046026651939092,"{'C': 3, 'gamma': 0.03}"
120,0.6272436369820305,0.004046026651939092,"{'C': 1000, 'gamma': 1000}"
91,0.6272436369820305,0.004046026651939092,"{'C': 10, 'gamma': 0.03}"
74,0.6272436369820305,0.004046026651939092,"{'C': 1, 'gamma': 10}"
75,0.6272436369820305,0.004046026651939092,"{'C': 1, 'gamma': 100}"
76,0.6272436369820305,0.004046026651939092,"{'C': 1, 'gamma': 1000}"
71,0.6272436369820305,0.004046026651939092,"{'C': 1, 'gamma': 0.3}"
119,0.6272436369820305,0.004046026651939092,"{'C': 1000, 'gamma': 100}"
93,0.6272436369820305,0.004046026651939092,"{'C': 10, 'gamma': 0.3}"
70,0.6272436369820305,0.004046026651939092,"{'C': 1, 'gamma': 0.1}"
73,0.6272436369820305,0.004046026651939092,"{'C': 1, 'gamma': 3}"
82,0.6272436369820305,0.004046026651939092,"{'C': 3, 'gamma': 0.3}"
84,0.6272436369820305,0.004046026651939092,"{'C': 3, 'gamma': 3}"
85,0.6272436369820305,0.004046026651939092,"{'C': 3, 'gamma': 10}"
86,0.6272436369820305,0.004046026651939092,"{'C': 3, 'gamma': 100}"
87,0.6272436369820305,0.004046026651939092,"{'C': 3, 'gamma': 1000}"
104,0.6272436369820305,0.004046026651939092,"{'C': 100, 'gamma': 0.3}"
90,0.6272436369820305,0.004046026651939092,"{'C': 10, 'gamma': 0.01}"
83,0.6272436369820305,0.004046026651939092,"{'C': 3, 'gamma': 1}"
72,0.6272436369820305,0.004046026651939092,"{'C': 1, 'gamma': 1}"
106,0.6272436369820305,0.004046026651939092,"{'C': 100, 'gamma': 3}"
115,0.6272436369820305,0.004046026651939092,"{'C': 1000, 'gamma': 0.3}"
118,0.6272436369820305,0.004046026651939092,"{'C': 1000, 'gamma': 10}"
94,0.6272436369820305,0.004046026651939092,"{'C': 10, 'gamma': 1}"
117,0.6272436369820305,0.004046026651939092,"{'C': 1000, 'gamma': 3}"
95,0.6272436369820305,0.004046026651939092,"{'C': 10, 'gamma': 3}"
96,0.6272436369820305,0.004046026651939092,"{'C': 10, 'gamma': 10}"
97,0.6272436369820305,0.004046026651939092,"{'C': 10, 'gamma': 100}"
98,0.6272436369820305,0.004046026651939092,"{'C': 10, 'gamma': 1000}"
105,0.6272436369820305,0.004046026651939092,"{'C': 100, 'gamma': 1}"
107,0.6272436369820305,0.004046026651939092,"{'C': 100, 'gamma': 10}"
108,0.6272436369820305,0.004046026651939092,"{'C': 100, 'gamma': 100}"
109,0.6272436369820305,0.004046026651939092,"{'C': 100, 'gamma': 1000}"
116,0.6272436369820305,0.004046026651939092,"{'C': 1000, 'gamma': 1}"
77,0.6271591633333131,0.003660467963367154,"{'C': 3, 'gamma': 0.0001}"
88,0.6271517952224966,0.004348521698680953,"{'C': 10, 'gamma': 0.0001}"
112,0.6269268082169258,0.0037358481699270927,"{'C': 1000, 'gamma': 0.01}"
114,0.6269268082169258,0.0037358481699270927,"{'C': 1000, 'gamma': 0.1}"
113,0.6269268082169258,0.0037358481699270927,"{'C': 1000, 'gamma': 0.03}"
81,0.6269268082169258,0.0037358481699270927,"{'C': 3, 'gamma': 0.1}"
101,0.6269268082169258,0.0037358481699270927,"{'C': 100, 'gamma': 0.01}"
102,0.6269268082169258,0.0037358481699270927,"{'C': 100, 'gamma': 0.03}"
92,0.6269268082169258,0.0037358481699270927,"{'C': 10, 'gamma': 0.1}"
103,0.6269268082169258,0.0037358481699270927,"{'C': 100, 'gamma': 0.1}"
78,0.6269249349684131,0.004167030287442513,"{'C': 3, 'gamma': 0.001}"
89,0.6269249349684131,0.004167030287442513,"{'C': 10, 'gamma': 0.001}"
111,0.6266081062033086,0.003840367608209915,"{'C': 1000, 'gamma': 0.001}"
100,0.6266081062033086,0.003840367608209915,"{'C': 100, 'gamma': 0.001}"
67,0.6261697660513507,0.0036260160428598664,"{'C': 1, 'gamma': 0.001}"
66,0.6258510640377333,0.003668420973033695,"{'C': 1, 'gamma': 0.0001}"
